,Premiums,Death,Lapse,Matuirty,Expenses,Commissions,Investment Income,Change in AV,Net Cashflow
872,10532.875755421159,59083.21009058314,19224.802234505063,0.0,904.3895755845818,526.643787771058,-30213.79119417299,-108636.04436838813,9216.08324119245
873,10461.077367829763,58785.343764394485,19127.880939867955,0.0,898.9698263803054,523.0538683914882,70829.54010892005,-7171.960107540712,9127.329185256298
874,10389.768401036676,58782.44157627934,19126.936610802637,0.0,893.582556189753,519.4884200518338,84115.74426149011,6059.942607250065,9123.120891953156
875,10318.945518856704,58557.40501438073,19053.713043711396,0.0,888.227570375444,515.9472759428353,-15037.522657261004,-92863.80161148682,9129.93156867211
876,10248.605407846086,66005.4981401471,18851.05291149742,0.0,882.9046754663038,512.4302703923044,-55239.49412128607,-140297.07291254587,9054.298201602767
877,10171.457013928224,66012.47897520188,18853.046625577183,0.0,876.9853265559644,508.57285069641125,226579.25183215886,141560.23702596128,8939.388042094331
878,10094.889369726763,66099.56522176166,18877.9183027559,0.0,871.1056633472597,504.7444684863382,-25469.72459959897,-110787.51764777489,9059.348761551519
879,10018.898103533931,65927.56877527275,18828.796423447187,0.0,865.2654197712452,500.9449051766966,136696.72278636464,51624.03584923968,8969.009516991006
880,9943.478876550855,65943.3758540736,18833.31089704783,0.0,859.4643315428108,497.17394382754276,39436.9289152011,-45766.92034406215,9014.003109322315
881,9868.627382639812,66188.2056598854,18903.233854281945,0.0,853.7021361487198,493.4313691319906,213994.87009743295,128447.0969695095,8977.827491115226
882,9794.339348078387,66548.39986536736,19006.104678944735,0.0,847.9785728357299,489.7169674039194,80980.5701057208,-5204.110814901069,9086.820184148506
883,9720.610531315448,66576.52184027238,19014.136264976925,0.0,842.2933825987936,486.0305265657724,101042.40199833216,14759.603637311608,9084.426877922131
884,9647.436722728973,66368.08504110867,18954.607085734984,0.0,836.6463081693385,482.3718361364487,863.2018990689938,-85229.73170061596,9098.660051264495
885,9574.813744385703,65154.26391254871,18607.94192958401,0.0,831.0370940036236,478.7406872192852,-242368.42920885916,-326895.1579606943,9029.558872865164
886,9502.737449802586,64285.01848371446,18359.68698062143,0.0,825.4654862711759,475.1368724901293,112761.32209330481,29559.691742995754,8759.059977014462
887,9431.203723710045,63932.920138005014,18259.128319115283,0.0,819.9312328433056,471.5601861855023,-65770.04844363683,-148607.98156636767,8785.59697029178
888,9360.208481817,72409.70330279779,18108.50026783659,0.0,814.434083281694,468.01042409085005,68652.3889914147,-22451.701731465757,8663.651126690536
889,9282.02944030895,72095.941306847,18030.033447389163,0.0,808.3016665902758,464.10147201544754,19941.82799685526,-70821.62666125782,8647.10620558013
890,9204.503371706684,71699.70445847798,17930.94099503078,0.0,802.2154249488084,460.2251685853342,42900.77060335266,-47378.05204901099,8590.239977027428
891,9127.624822200492,71512.12568343061,17884.0305653059,0.0,796.1750106745847,456.38124111002463,81404.92811693146,-8669.056656260043,8552.897094870876
892,9051.388383532385,71558.33216309009,17895.586061477323,0.0,790.1800787028313,452.56941917661925,112566.45790118138,22373.37974856794,8547.798813698952
893,8975.78869261564,71306.34774292934,17832.568817491527,0.0,784.2302865669989,448.78943463078207,-6934.843224158573,-96899.54721780308,8568.556404641495
894,8900.82043115751,70575.8689927788,17649.88785017096,0.0,778.3252943791958,445.0410215578755,-31719.775909002128,-120757.9857716132,8489.907134881767
895,8826.47832528509,69900.9827105242,17481.109663470474,0.0,772.4647648107726,441.32391626425454,7543.714817910339,-80617.0510596428,8391.363147768527
896,8752.75714517432,69255.11321581056,17319.58810787038,0.0,766.6483630730527,437.63785725871605,-24424.282264856854,-111776.76998742856,8326.257323733327
897,8679.651704682077,68813.67102388435,17209.190527351344,0.0,760.8757568982059,433.9825852341039,66551.74354953131,-20221.497159631923,8235.172520477314
898,8607.15686098133,68378.44671268866,17100.34793863227,0.0,755.146616520268,430.3578430490665,-22813.73436544464,-109091.2479152605,8220.37129990691
899,8535.26751419935,67921.43999010642,16986.057919742445,0.0,749.4606146563024,426.7633757099675,58176.33155996855,-27503.622370203957,8131.499544156715
900,8463.978607058963,77203.52313286153,16864.214083788855,0.0,743.8174264877036,423.1989303529482,-12733.78375435926,-107615.16385577247,8110.605134981117
901,8385.168783186433,76385.80982995415,16685.594098070582,0.0,737.502871019056,419.25843915932165,-11554.01597921147,-105420.25322290137,8023.24078867324
902,8307.092773590517,75217.7442272548,16430.44371647554,0.0,731.241922268061,415.35463867952586,-106006.69653240213,-198432.07743240893,7937.689168919373
903,8229.743745577445,73713.28001390072,16101.810960535895,0.0,725.0341251464397,411.4871872788723,-103087.8909241953,-193584.3709038198,7774.611438340071
904,8153.11493007405,72845.92291626101,15912.346863715891,0.0,718.8790284293354,407.6557465037025,56151.282301502826,-33195.96463692188,7615.557313588812
905,8077.199621035373,72621.76106817025,15863.381308230622,0.0,712.7761847225142,403.85998105176867,63921.66917031792,-25193.053902314976,7590.144151493103
906,8001.991174857807,72033.91932873627,15734.974099091462,0.0,706.725150429846,400.0995587428904,-38964.41486157577,-127409.52596927807,7571.384145559627
907,7927.483009797685,70763.05388256132,15457.368284145668,0.0,700.725485721061,396.37415048988424,-116465.11521697011,-203322.58192600496,7467.427915914595
908,7853.668605395294,69422.03622282628,15164.438531898557,0.0,694.7767544997797,392.68343026976476,-61248.09504724191,-146368.556462517,7300.195081175974
909,7780.541501904246,68362.59258161599,14933.015357798953,0.0,688.8785243718139,389.0270750952123,-45966.643277149924,-129740.02362787537,7180.408313747714
910,7708.09529972616,68203.54328170171,14898.272883171012,0.0,683.0303666137384,385.404764986308,170788.11435518632,87251.4952180516,7074.463140388107
911,7636.323658850621,68141.52272812763,14884.725212668092,0.0,677.2318561417279,381.81618294253104,-18785.346714707593,-102383.64785517566,7149.328819438684
912,7565.22029830033,77927.29437633423,14828.69902571026,0.0,671.4825714806582,378.2610149150165,138086.09189353551,44779.42530139163,7066.149902004043
913,7486.315931507742,77656.0883291665,14777.091525673353,0.0,665.0302971781101,374.31579657538714,-12369.147255196502,-105461.27123972587,7105.913967443761
914,7408.23452807292,76805.72717995393,14615.277239090607,0.0,658.6400227627422,370.411726403646,4339.05047234701,-87723.22838572599,7020.4572179349925
915,7330.967504583873,75762.79915949375,14416.819614651633,0.0,652.3111524777984,366.54837522919365,-57939.26152462587,-148756.53441834822,6949.762096453836
